x1;x2;y;normX1;normX2;normY;randX1;randX2;randY;normRandX1;normRandX2
3;3;6;0.3;0.16666666666667;0.46969696969697;6.2549196;3.4736804;31.9785136;0.62549196;0.2456134
4;3;15;0.4;0.16666666666667;0.53787878787879;7.8060729;6.4293448;25.2492425;0.78060729;0.73822413333333
5;3;24;0.5;0.16666666666667;0.60606060606061;4.8803861;5.0095668;8.8565073;0.48803861;0.50159446666667
6;3;33;0.6;0.16666666666667;0.67424242424242;4.4885131;5.6892652;0.57176149999999;0.44885131;0.61487753333333
7;3;42;0.7;0.16666666666667;0.74242424242424;3.0635979;4.5998525;-4.6265864;0.30635979;0.43330875
8;3;51;0.8;0.16666666666667;0.81060606060606;1.112368;2.1904361;-5.3217407;0.1112368;0.03173935
9;3;60;0.9;0.16666666666667;0.87878787878788;6.6668048;7.6164772;6.6859028;0.66668048;0.93607953333333
10;3;69;1;0.16666666666667;0.9469696969697;7.5350794;3.1974207;45.4337697;0.75350794;0.19957011666667
0;3.5;-24.5;0;0.25;0.23863636363636;6.724646;7.9272404;5.0311312;0.6724646;0.9878734
1;3.5;-15.5;0.1;0.25;0.30681818181818;6.2998892;4.3366948;26.3421392;0.62998892;0.38944913333333
2;3.5;-6.5;0.2;0.25;0.375;0.2097723;5.8831446;-39.2940615;0.02097723;0.64719076666667
3;3.5;2.5;0.3;0.25;0.44318181818182;6.2713719;3.3325263;33.114663;0.62713719;0.22208771666667
4;3.5;11.5;0.4;0.25;0.51136363636364;8.7255328;3.7982121;51.9423105;0.87255328;0.29970201666667
5;3.5;20.5;0.5;0.25;0.57954545454545;1.8513753;7.3264854;-34.6230201;0.18513753;0.88774756666667
6;3.5;29.5;0.6;0.25;0.64772727272727;9.7661017;6.9436023;39.2896992;0.97661017;0.82393371666667
7;3.5;38.5;0.7;0.25;0.71590909090909;4.1278159;5.6126128;-2.1379465;0.41278159;0.60210213333333
8;3.5;47.5;0.8;0.25;0.78409090909091;0.6954712;3.1603333;-15.8630923;0.06954712;0.19338888333333
9;3.5;56.5;0.9;0.25;0.85227272727273;3.4032626;5.3455144;-6.7892374;0.34032626;0.55758573333333
10;3.5;65.5;1;0.25;0.92045454545455;6.9498335;6.7350654;15.4030437;0.69498335;0.78917756666667
0;4;-28;0;0.33333333333333;0.21212121212121;1.7246327;2.0080588;1.4652827;0.17246327;0.0013431333333334
1;4;-19;0.1;0.33333333333333;0.28030303030303;2.2248632;3.7022004;-5.891634;0.22248632;0.28370006666667
2;4;-10;0.2;0.33333333333333;0.34848484848485;0.330825;7.3350009;-48.3675813;0.0330825;0.88916681666667
3;4;-1;0.3;0.33333333333333;0.41666666666667;2.197796;6.7195427;-27.2566349;0.2197796;0.78659045
4;4;8;0.4;0.33333333333333;0.48484848484848;0.8873693;7.3534653;-43.4879334;0.08873693;0.89224421666667
5;4;17;0.5;0.33333333333333;0.5530303030303;7.7446385;6.3123552;25.5152601;0.77446385;0.71872586666667
6;4;26;0.6;0.33333333333333;0.62121212121212;2.8169334;6.7726465;-22.0561249;0.28169334;0.79544108333333
7;4;35;0.7;0.33333333333333;0.68939393939394;3.6591662;7.4529832;-19.2383866;0.36591662;0.90883053333333
8;4;44;0.8;0.33333333333333;0.75757575757576;0.175288;3.4308193;-22.4381431;0.0175288;0.23846988333333
9;4;53;0.9;0.33333333333333;0.82575757575758;2.0853255;3.215998;-3.7440565;0.20853255;0.20266633333333
10;4;62;1;0.33333333333333;0.89393939393939;1.2621746;3.1108563;-10.4164227;0.12621746;0.18514271666667
0;4.5;-31.5;0;0.41666666666667;0.18560606060606;0.2660004;5.2339944;-34.2439572;0.02660004;0.53899906666667
1;4.5;-22.5;0.1;0.41666666666667;0.25378787878788;7.8724485;2.5768829;52.8138562;0.78724485;0.09614715
2;4.5;-13.5;0.2;0.41666666666667;0.3219696969697;7.3238794;2.7654266;46.5569284;0.73238794;0.1275711
3;4.5;-4.5;0.3;0.41666666666667;0.39015151515152;6.5373289;4.5642278;26.8863655;0.65373289;0.4273713
4;4.5;4.5;0.4;0.41666666666667;0.45833333333333;9.1674868;6.957177;33.8071422;0.91674868;0.82619616666667
5;4.5;13.5;0.5;0.41666666666667;0.52651515151515;4.2871444;2.83541;18.7364296;0.42871444;0.139235
6;4.5;22.5;0.6;0.41666666666667;0.59469696969697;1.0989623;4.7707817;-23.5048112;0.10989623;0.46179695
7;4.5;31.5;0.7;0.41666666666667;0.66287878787879;0.2840181;3.978055;-25.2902221;0.02840181;0.32967583333333
8;4.5;40.5;0.8;0.41666666666667;0.73106060606061;2.4838739;2.7028324;3.4350383;0.24838739;0.11713873333333
9;4.5;49.5;0.9;0.41666666666667;0.79924242424242;2.2192005;2.1371074;5.0130527;0.22192005;0.022851233333333
10;4.5;58.5;1;0.41666666666667;0.86742424242424;8.3586461;5.0216803;40.0760528;0.83586461;0.50361338333333
0;5;-35;0;0.5;0.15909090909091;8.1829232;3.2106873;51.1714977;0.81829232;0.20178121666667
1;5;-26;0.1;0.5;0.22727272727273;4.1244392;7.0149268;-11.9845348;0.41244392;0.83582113333333
2;5;-17;0.2;0.5;0.29545454545455;4.4025112;5.7258588;-0.4584108;0.44025112;0.62097646666667
3;5;-8;0.3;0.5;0.36363636363636;0.3848745;5.3988115;-34.32781;0.03848745;0.56646858333333
4;5;1;0.4;0.5;0.43181818181818;8.0611919;2.3905249;55.8170528;0.80611919;0.065087483333333
5;5;10;0.5;0.5;0.5;1.0546764;5.5601843;-29.4292025;0.10546764;0.59336405
6;5;19;0.6;0.5;0.56818181818182;1.6123465;7.0271335;-34.678816;0.16123465;0.83785558333333
7;5;28;0.7;0.5;0.63636363636364;7.2093516;6.8898053;16.6555273;0.72093516;0.81496755
8;5;37;0.8;0.5;0.70454545454545;2.6522687;5.826103;-16.9123027;0.26522687;0.63768383333333
9;5;46;0.9;0.5;0.77272727272727;6.4116371;6.1636479;14.5591986;0.64116371;0.69394131666667
10;5;55;1;0.5;0.84090909090909;7.7691884;6.5063597;24.3781777;0.77691884;0.75105995
0;5.5;-38.5;0;0.58333333333333;0.13257575757576;1.5573825;6.8319239;-33.8070248;0.15573825;0.80532065
1;5.5;-29.5;0.1;0.58333333333333;0.20075757575758;0.8073579;4.4247539;-23.7070562;0.08073579;0.40412565
2;5.5;-20.5;0.2;0.58333333333333;0.26893939393939;9.2245939;3.815935;56.3098001;0.92245939;0.30265583333333
3;5.5;-11.5;0.3;0.58333333333333;0.33712121212121;4.2697689;6.549944;-7.4216879;0.42697689;0.758324
4;5.5;-2.5;0.4;0.58333333333333;0.40530303030303;8.0626923;3.4716152;48.2629243;0.80626923;0.2452692
5;5.5;6.5;0.5;0.58333333333333;0.47348484848485;9.6010522;3.3122789;63.2235175;0.96010522;0.21871315
6;5.5;15.5;0.6;0.58333333333333;0.54166666666667;0.8109032;4.402138;-23.5168372;0.08109032;0.40035633333333
7;5.5;24.5;0.7;0.58333333333333;0.60984848484848;8.3968962;2.7174666;56.5497996;0.83968962;0.11957776666667
8;5.5;33.5;0.8;0.58333333333333;0.6780303030303;9.6682492;5.8748529;45.8902725;0.96682492;0.64580881666667
9;5.5;42.5;0.9;0.58333333333333;0.74621212121212;1.8466527;2.4337553;-0.4164128;0.18466527;0.07229255
10;5.5;51.5;1;0.58333333333333;0.81439393939394;2.3917285;4.0753995;-7.00224;0.23917285;0.34589991666667
0;6;-42;0;0.66666666666667;0.10606060606061;9.1014814;7.7606481;27.5887959;0.91014814;0.96010801666667
1;6;-33;0.1;0.66666666666667;0.17424242424242;1.6086747;3.05225;-6.8876777;0.16086747;0.175375
2;6;-24;0.2;0.66666666666667;0.24242424242424;5.9779184;6.8121871;6.1159559;0.59779184;0.80203118333333
3;6;-15;0.3;0.66666666666667;0.31060606060606;8.6931633;4.248264;48.5006217;0.86931633;0.37471066666667
4;6;-6;0.4;0.66666666666667;0.37878787878788;5.5309113;2.1503274;34.7259099;0.55309113;0.025054566666667
5;6;3;0.5;0.66666666666667;0.4469696969697;1.8003131;5.8029615;-24.4179126;0.18003131;0.63382691666667
6;6;12;0.6;0.66666666666667;0.51515151515152;4.2918022;2.6149442;20.3216104;0.42918022;0.1024907
7;6;21;0.7;0.66666666666667;0.58333333333333;9.3648277;7.1369427;34.3248504;0.93648277;0.85615711666667
8;6;30;0.8;0.66666666666667;0.65151515151515;8.6081469;6.456512;32.2777381;0.86081469;0.742752
9;6;39;0.9;0.66666666666667;0.71969696969697;1.0142631;6.9255195;-39.3502686;0.10142631;0.82091991666667
10;6;48;1;0.66666666666667;0.78787878787879;9.6146514;3.0950998;64.866164;0.96146514;0.18251663333333
0;6.5;-45.5;0;0.75;0.079545454545455;2.2127623;6.8069286;-27.7336395;0.22127623;0.80115476666667
1;6.5;-36.5;0.1;0.75;0.14772727272727;3.0209442;3.1286069;5.2882495;0.30209442;0.18810115
2;6.5;-27.5;0.2;0.75;0.21590909090909;4.4696356;4.9205582;5.782813;0.44696356;0.4867597
3;6.5;-18.5;0.3;0.75;0.28409090909091;2.603937;6.1168185;-19.3822965;0.2603937;0.68613641666667
4;6.5;-9.5;0.4;0.75;0.35227272727273;8.3265963;3.023251;53.7766097;0.83265963;0.17054183333333
5;6.5;-0.5;0.5;0.75;0.42045454545455;6.4624442;7.9611626;2.4338596;0.64624442;0.9935271
6;6.5;8.5;0.6;0.75;0.48863636363636;3.4591685;3.4642175;6.882994;0.34591685;0.24403625
7;6.5;17.5;0.7;0.75;0.55681818181818;7.9555829;3.291399;48.5604531;0.79555829;0.21523316666667
8;6.5;26.5;0.8;0.75;0.625;6.1874693;4.0918965;27.0439482;0.61874693;0.34864941666667
9;6.5;35.5;0.9;0.75;0.69318181818182;2.4028774;6.7926695;-25.9227899;0.24028774;0.79877825
10;6.5;44.5;1;0.75;0.76136363636364;9.8247634;6.0168078;46.305216;0.98247634;0.66946796666667
0;7;-49;0;0.83333333333333;0.053030303030303;9.0126894;7.5137546;28.5179224;0.90126894;0.9189591
1;7;-40;0.1;0.83333333333333;0.12121212121212;5.2562508;6.5725018;1.2987446;0.52562508;0.76208363333333
2;7;-31;0.2;0.83333333333333;0.18939393939394;6.6171109;5.7623084;19.2178393;0.66171109;0.6270514
3;7;-22;0.3;0.83333333333333;0.25757575757576;5.8300353;5.7390574;12.2969159;0.58300353;0.62317623333333
4;7;-13;0.4;0.83333333333333;0.32575757575758;8.0956805;6.8256787;25.0813736;0.80956805;0.80427978333333
5;7;-4;0.5;0.83333333333333;0.39393939393939;4.2433099;2.6699748;19.4999655;0.42433099;0.11166246666667
6;7;5;0.6;0.83333333333333;0.46212121212121;9.9238093;7.2277674;38.7199119;0.99238093;0.87129456666667
7;7;14;0.7;0.83333333333333;0.53030303030303;5.9842217;3.5166477;29.2414614;0.59842217;0.25277461666667
8;7;23;0.8;0.83333333333333;0.59848484848485;5.5743097;4.5864908;18.0633517;0.55743097;0.4310818
9;7;32;0.9;0.83333333333333;0.66666666666667;4.2331646;3.2220523;15.5441153;0.42331646;0.20367538333333
10;7;41;1;0.83333333333333;0.73484848484848;4.246089;6.6153999;-8.0929983;0.4246089;0.76923331666667
0;7.5;-52.5;0;0.91666666666667;0.026515151515152;4.4771165;3.3210031;17.0470268;0.44771165;0.22016718333333
1;7.5;-43.5;0.1;0.91666666666667;0.09469696969697;9.8446649;2.3987514;71.8107243;0.98446649;0.066458566666667
2;7.5;-34.5;0.2;0.91666666666667;0.16287878787879;5.688166;3.3485254;27.7538162;0.5688166;0.22475423333333
3;7.5;-25.5;0.3;0.91666666666667;0.23106060606061;8.6523682;5.3077576;40.7170106;0.86523682;0.55129293333333
4;7.5;-16.5;0.4;0.91666666666667;0.29924242424242;8.9422221;6.5990345;34.2867574;0.89422221;0.76650575
5;7.5;-7.5;0.5;0.91666666666667;0.36742424242424;4.7025204;4.5190837;10.6890977;0.47025204;0.41984728333333
6;7.5;1.5;0.6;0.91666666666667;0.43560606060606;5.2858938;2.7917787;28.0305933;0.52858938;0.13196311666667
7;7.5;10.5;0.7;0.91666666666667;0.50378787878788;0.4689868;2.6695575;-14.4660213;0.04689868;0.11159291666667
8;7.5;19.5;0.8;0.91666666666667;0.5719696969697;7.5513936;7.1388005;17.9909389;0.75513936;0.85646675
9;7.5;28.5;0.9;0.91666666666667;0.64015151515152;9.1587269;3.076822;60.8907881;0.91587269;0.17947033333333
10;7.5;37.5;1;0.91666666666667;0.70833333333333;9.6812922;7.4495217;34.9849779;0.96812922;0.90825361666667
0;8;-56;0;1;0;0.507649;5.3993083;-33.2263171;0.0507649;0.56655138333333
1;8;-47;0.1;1;0.068181818181818;1.6102823;5.6491752;-25.0516857;0.16102823;0.60819586666667
2;8;-38;0.2;1;0.13636363636364;9.9763319;5.5060682;51.2445097;0.99763319;0.5843447
3;8;-29;0.3;1;0.20454545454545;8.1187127;4.5334525;41.3342468;0.81187127;0.42224208333333
4;8;-20;0.4;1;0.27272727272727;3.5357802;3.5574975;6.9195393;0.35357802;0.25958291666667
5;8;-11;0.5;1;0.34090909090909;6.4240927;4.028267;29.6189653;0.64240927;0.3380445
6;8;-2;0.6;1;0.40909090909091;3.2604149;3.2673552;6.4722477;0.32604149;0.21122586666667
7;8;7;0.7;1;0.47727272727273;5.6279874;3.1476698;28.618198;0.56279874;0.1912783
8;8;16;0.8;1;0.54545454545455;7.6251881;4.7421256;35.4318137;0.76251881;0.45702093333333
9;8;25;0.9;1;0.61363636363636;9.5778406;3.396625;62.4241904;0.95778406;0.23277083333333
10;8;34;1;1;0.68181818181818;8.7686823;4.9182406;44.4904565;0.87686823;0.48637343333333
